id,rut,nombre,edad,sexo,tienda
286,48766480-4,Bastian Tapia,69,hombre,22
287,15119459-1,Fernanda Vargas,16,hombre,10
288,76849115-1,Camilo Zambrano,13,mujer,54
289,15765031-9,Barbara Zuniga,10,hombre,10
290,32726853-8,Camila Aburto,26,hombre,17
291,59260036-6,Valentina Aliaga,96,hombre,77
292,19130484-5,Camila Arancibia,36,hombre,17
293,57325256-k,Javier Aravena,45,hombre,94
294,80356838-3,Diego Arce,93,mujer,49
295,10119008-0,Javiera Barrera,95,hombre,99
296,57437538-k,Nayelit Brantes,41,hombre,86
297,80092681-5,Tamara Candia,24,hombre,9
298,40503382-8,Dania Carreno,29,mujer,44
299,14292252-5,Constanza Castillo,55,hombre,35
300,24215497-5,Constanza Diaz,72,hombre,90
301,60987705-7,Jose Espina,19,mujer,55
302,59959821-9,Rodrigo Figueroa,10,hombre,48
303,97418193-2,Fernanda Gonzslez,77,hombre,14
304,88034198-7,Daniela Habibe,36,hombre,42
305,56725663-4,Gloria Herrera,66,hombre,80
306,54157127-2,Thaira Hormazabal,74,mujer,9
307,48979148-k,Kiomara Huinca,13,mujer,78
308,30492842-5,Barbara Jara,21,mujer,101
309,84671162-7,Javiera Jaramillo,48,mujer,31
310,57342278-3,Maria Martinez,84,mujer,62
311,73540572-1,Tiare Miranda,55,hombre,84
312,48762156-0,Constanza Morales,80,hombre,68
313,58509457-9,Sebastian Moya,89,mujer,26
314,58188294-7,Fabian Munoz,12,mujer,6
315,25844754-9,Valentina Munoz,58,hombre,27
316,29903675-8,Lucas Nunez,95,hombre,54
317,66844166-1,Vania Pena,45,hombre,18
318,32273643-6,Dylan Perez,77,hombre,10
319,80353279-6,Damary Pichulman,68,hombre,0
320,29622397-2,Francisca Pinto,26,hombre,53
321,78897889-8,Danae Poblete,94,mujer,29
322,58846331-1,Paula Quintrel,60,mujer,75
323,71652443-4,Camilo Roblero,78,mujer,62
324,90243628-6,Vicente Saez,36,mujer,44
325,84081575-7,Crichna Salazar,19,mujer,26
326,14114400-6,Elias Sanzana,87,mujer,31
327,83905334-7,Esteban Schroder,30,hombre,48
328,89146700-1,Nicolas Soto,46,hombre,6
329,29622980-6,Nicolas Urriola,20,mujer,24
330,20168747-0,Aylin Valdes,69,mujer,1
331,38725184-7,Damaris Venegas,30,hombre,55
332,28450511-5,Benjamin Vera,96,mujer,66
333,81018273-3,Monserrat Vidal,72,hombre,40
334,10742402-4,Anais Aguirre,54,hombre,37
335,85384785-2,Isaac Andrades,65,hombre,93
336,30001031-8,Karina Araos,29,mujer,45
337,48246125-5,Daniela Beroiza,67,mujer,71
338,48986292-1,Carolina Brevis,41,mujer,69
339,93892863-0,Camila Cabrera,55,hombre,36
340,52179815-7,Valentina Campos,22,hombre,50
341,19706256-8,Annais Caro,55,hombre,94
342,26196183-0,Abraham Carreno,27,mujer,8
343,11271286-0,Jael Cornejo,56,mujer,13
344,48998776-7,Aaron Cornejo,78,mujer,25
345,95521769-1,Matias Ferreira,47,hombre,50
346,55972471-8,Matias Fuentes,32,hombre,14
347,95487734-5,Alexandra Garay,58,hombre,81
348,63814706-8,Yahir Garrido,43,hombre,58
349,43597800-2,Justin Godoy,79,mujer,92
350,95403427-5,Camila Gonzalez,10,mujer,85
351,56914123-0,Natalia Henriquez,76,mujer,38
352,95623149-3,Jorge Hidalgo,87,mujer,64
353,37126798-0,Francisca Huenufil,47,mujer,60
354,92270331-0,Maria Jilberto,17,mujer,39
355,46288331-5,Cristhian Jimenez,94,mujer,70
356,90505307-8,Isidora Jimenez,13,mujer,77
357,95810168-6,Martin Leiva,73,hombre,65
358,94006732-4,Martina Leiva,62,hombre,87
359,61336127-8,Andres Lucero,81,hombre,79
360,32142510-0,Gamadiel Marin,73,hombre,64
361,21188032-5,Saad Sierra,18,mujer,81
362,64660903-8,Teigan Phelps,29,mujer,85
363,17677635-8,Chiara Howell,35,mujer,76
364,21332506-k,Nishat Greig,42,mujer,58
365,36615636-4,Niam Snider,50,hombre,2
366,30741496-1,Tasnim Rutledge,57,hombre,56
367,18970874-2,Henna Cantu,24,mujer,25
368,33491402-k,Amira Wong,28,mujer,7
369,47342099-6,Annaliese Ford,37,hombre,15
370,73815426-6,Marco Waters,21,hombre,11
371,19528671-k,Marian Spence,57,hombre,28
372,51844875-7,Amy Sharples,38,hombre,100
373,17327495-5,Eamonn Redfern,48,hombre,74
374,82719046-2,Katarina Chang,54,hombre,54
375,79873843-7,Annabelle Poole,40,hombre,45
376,66227912-9,Donte Salgado,40,mujer,31
377,44715611-3,Sufyan Rollins,44,hombre,46
378,71134226-5,Gracey Day,18,mujer,2
379,89260929-2,Otto Lindsay,25,hombre,82
380,72620651-1,Murphy Melendez,26,hombre,9
381,33908685-0,Marcel Mccarty,23,hombre,82
382,94221380-8,Lowri Henry,35,mujer,22
383,15823641-9,Juliet Goodman,43,mujer,19
384,39790970-0,Winnie Bloom,38,hombre,68
385,14736236-6,Baxter Bateman,46,mujer,34
386,17195049-k,Huda Sullivan,20,mujer,2
387,67710168-7,Ravi Avila,58,hombre,8
388,21201270-k,Hamza Carson,22,hombre,89
389,16833235-1,Faizaan Gilmour,44,mujer,87
390,32273167-1,Saoirse Tang,54,hombre,53
391,90922919-7,Harvey Marsden,35,mujer,10
392,60028335-9,Ehsan Liu,19,mujer,50
393,52968708-7,Orlaith Collier,60,mujer,5
394,57689116-4,Marcia Berg,27,mujer,23
395,10094201-1,Kamron Moran,39,mujer,19
396,85779616-0,Colin Rosario,24,mujer,63
397,15683276-6,Darrell Barnes,20,hombre,59
398,14825989-5,Akbar Healy,50,hombre,25
399,65207641-6,Valentino Gilliam,26,hombre,40
400,34761062-3,Damien Barnard,40,mujer,59
401,93600353-2,Jenna Wyatt,52,hombre,79
402,61627352-3,Chenai Lynch,33,mujer,41
403,33917878-k,Cleo Parsons,23,hombre,49
404,81311438-0,Meerab Shields,40,hombre,18
405,16506263-9,Asia Byers,54,mujer,95
406,48849361-2,Teejay Leon,45,hombre,62
407,23684561-3,Kelsie Vickers,29,hombre,62
408,12842111-4,Elisabeth Pickett,36,mujer,79
409,46524982-k,Tehya Curry,48,hombre,34
410,54556015-1,Nabila Silva,40,mujer,70
411,22240154-2,Kaira Frey,52,mujer,3
412,72478850-5,Lila Barron,59,mujer,53
413,25107105-5,Xander Goodwin,22,mujer,82
414,69768825-0,Lexi Cairns,45,hombre,9
415,42644643-k,Keyan Rigby,53,hombre,50
416,54004386-8,Donald Gordon,53,mujer,30
417,55514185-8,Kaylen Yoder,34,hombre,72
418,34762796-8,Rehaan Acosta,40,hombre,61
419,55422937-9,Ahsan Moyer,35,hombre,18
420,11636170-1,Simrah Begum,18,mujer,68
421,45453849-8,Rio Haas,30,hombre,86
422,84539370-2,Dannielle Power,59,hombre,75
423,96900689-8,Adam Delarosa,26,hombre,13
424,44281327-2,Yousif Mccullough,34,hombre,35
425,74580276-1,Zakary Ingram,21,mujer,46
426,78160098-9,Jordana Haley,23,mujer,25
427,65346159-3,Kavan Holder,42,mujer,55
428,72800848-2,Kieren Peck,49,hombre,22
429,79757833-9,Fiona Estrada,41,mujer,8
430,79459402-3,Esme-Rose Sargent,41,mujer,48
431,80921370-6,Kathy Leal,35,mujer,6
432,90172937-9,Hassan Gilmore,23,mujer,17
433,47942200-1,Rose Larsen,52,hombre,44
434,42538060-5,Jorge Tillman,22,hombre,25
435,70582800-8,Devonte Needham,56,mujer,56
436,14982281-k,Fahad Richmond,23,mujer,86
437,90155266-5,Kynan Benson,56,hombre,4
438,96951878-3,Maison Rhodes,23,mujer,12
439,72159761-k,Cai Woodward,32,mujer,25
440,72430402-8,Dania Neal,23,hombre,6
441,66045545-0,Irene Contreras,56,hombre,17
442,91231636-k,Briony Whelan,37,hombre,75
443,86516801-2,Vishal Merrill,49,hombre,1
444,64750606-2,Brad Stewart,42,mujer,60
445,90966759-3,Mina Dougherty,26,mujer,85
446,31111145-0,Phebe Braun,55,hombre,45
447,16792411-5,Murray Britton,56,mujer,57
448,58765828-3,Jaxx Blaese,19,hombre,11
449,42216276-3,Una Glenn,40,hombre,30
450,91844038-0,Luke Hills,48,hombre,14
451,43926456-k,Yasser Wilkins,47,hombre,16
452,13965853-1,Emir Bird,40,hombre,70
453,14343597-0,Reema Page,45,hombre,43
454,41966463-4,Nigel Dickens,36,mujer,77
455,21219682-7,Priyanka Navarro,43,hombre,86
456,95541523-k,Dina Clark,23,hombre,11
457,68208732-3,Ali Childs,56,mujer,70
458,43831962-k,Ava-Rose O'Ryan,60,hombre,51
459,22234852-8,Talitha Mcloughlin,60,hombre,46
460,39089742-1,Lily-Anne Patel,36,mujer,28
461,92696219-1,Keane Morrison,28,mujer,43
462,69568679-k,Mayson Baird,48,hombre,15
463,91935122-5,Rhiann Cote,45,hombre,18
464,68133700-8,Lina Mclaughlin,45,mujer,62
465,42938886-4,Ayush Pace,58,mujer,5
466,11439340-1,Zeeshan Johnston,26,hombre,24
467,39899583-k,Dominykas Lutz,55,mujer,73
468,39949282-3,Rafi Kaiser,37,hombre,26
469,53644614-1,Maaria Major,41,mujer,88
470,19552470-k,Blanka Alford,34,mujer,61
